Full Name,1990,2005,2022,province
Alberta (AB),177.20,251.10,269.90,AB
Ontario (ON),178.40,203,157,ON
Quebec (QC),84.40,85.60,79.10,QC
Saskatchewan (SK),49,80.50,75.90,SK
British Columbia (BC),51.10,62.70,64.30,BC
Manitoba (MB),18.20,20.60,21.60,MB
Nova Scotia (NS),19.60,22.80,14.80,NS
New Brunswick (NB),16.20,20.10,12.50,NB
Newfoundland and Labrador (NL),9.50,10.30,8.60,NL
Prince Edward Island (PE),1.80,1.90,1.60,PE
Northwest Territories (NT),1.80,1.70,1.40,NT
Yukon (YT),0.50,0.60,0.70,YT
Nunavut (NU)*,-,0.60,0.60,NU
